,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
100,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,/learn/systematic-review,4.8,Mixed,1 - 3 Months,3200,
101,Preparing  Data for Analysis with Microsoft Excel,Microsoft,/learn/preparing-data-for-analysis-with-microsoft-excel,4.7,Beginner,1 - 4 Weeks,547,"Data Analysis, Microsoft Excel, Power BI"
102,International Women's Health and Human Rights,Stanford University,/learn/womens-health-human-rights,4.9,Beginner,3 - 6 Months,1500,
103,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,/learn/pap,4.8,Mixed,1 - 3 Months,9900,
104,Google Data Analytics Capstone: Complete a Case Study,Google,/learn/google-data-analytics-capstone,4.8,Beginner,1 - 4 Weeks,12400,"Business Analysis, Computer Programming, Data Analysis, Exploratory Data Analysis, R Programming, SQL, Spreadsheet Software, Statistical Programming, Tableau Software"
105,Data Analysis with Python,IBM,/learn/data-analysis-with-python,4.7,Beginner,1 - 3 Months,17300,"Python Programming, Data Analysis, Machine Learning, Computer Programming, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression"
106,Think Outside the Inbox: Email Marketing,Google,/learn/think-outside-the-inbox,4.8,Beginner,1 - 3 Months,1400,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Communication, Data Analysis, Writing, Strategy"
107,Conduct UX Research and Test Early Concepts,Google,/learn/conduct-ux-research,4.8,Beginner,1 - 4 Weeks,4400,"Planning, User Experience, User Research"
108,Human Resources Analytics,"University of California, Irvine",/learn/human-resources-analytics,4.6,Mixed,1 - 4 Weeks,1400,"Human Resources, People Analysis, Business Analysis, Employee Relations, Human Resources Operations, Leadership and Management, People Development, Communication, Data Visualization, Influencing, Storytelling, Data Analysis"
109,Agile with Atlassian Jira,Atlassian,/learn/agile-atlassian-jira,4.7,Beginner,1 - 4 Weeks,8300,"Agile Software Development, Leadership and Management, Planning, Product Development, Product Management, Project Management, Scrum (Software Development), Software Engineering, Software Testing, Technical Product Management, Jira (Software)"
110,Removing Barriers to Change,University of Pennsylvania,/learn/removing-barriers-to-change,4.9,Beginner,1 - 4 Weeks,372,"Business Psychology, Change Management, Leadership and Management, Problem Solving, Strategy, Behavioral Economics, Influencing, Marketing, Organizational Development, Strategy and Operations"
111,Data Management for Clinical Research,Vanderbilt University,/learn/clinical-data-management,4.7,Beginner,1 - 3 Months,1500,"Clinical Data Management, Data Management, Data Structures, Planning, Critical Thinking, Database Administration"
112,"Ethics, Technology and Engineering",Eindhoven University of Technology,/learn/ethics-technology-engineering,4.7,Beginner,1 - 3 Months,701,Problem Solving
113,Introduction to Project Management,IBM,/learn/introduction-to-project-management,4.8,Beginner,1 - 3 Months,334,"Leadership and Management, Project Management"
114,Principles of Management,Johns Hopkins University,/learn/principles-of-management,4.7,Mixed,1 - 4 Weeks,197,"Leadership and Management, Planning, Strategy, Critical Thinking, Operations Management, People Management, Strategy and Operations, Business Communication, Collaboration, Conflict Management, Organizational Development"
115,Learning How to Learn: Powerful mental tools to help you master tough subjects,Deep Teaching Solutions,/learn/learning-how-to-learn,4.8,Beginner,1 - 4 Weeks,87900,"Business Psychology, Entrepreneurship, Human Learning, Leadership and Management"
116,Data Science Methodology,IBM,/learn/data-science-methodology,4.6,Beginner,1 - 4 Weeks,19500,"Data Science, Data Analysis, Data Model, Machine Learning, Python Programming, Statistical Machine Learning, Data Mining"
117,Reducing Gun Violence in America: Evidence for Change,Johns Hopkins University,/learn/gun-violence,4.7,Beginner,1 - 3 Months,257,Exploratory Data Analysis
